Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Monday,Young_Adult,Male,Advanced,Employee,Beginner,Automobile,Advanced_Exp,No defect,Unknown,No_junction,Dry,Daylight,Inanimated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Monday,Adult,Male,Middle,Employee,Expert,Public,Advanced_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Monday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Other,No_junction,Dry,Daylight,Inanimated_Objects,2,2,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,17
Sunday,Young_Adult,Male,Middle,Employee,Advanced,Public,Unknown,No defect,Other,Y,Dry,Darkness,Vehicles,2,2,Forward,Pedestrian,3,No_pedestrian,Changing_lane,Slight Injury,1
Sunday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Advanced_Exp,No defect,Other,Y,Dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,1
Friday,Adult,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Y,Dry,Daylight,Vehicles,1,1,Turn,Driver or rider,3,No_pedestrian,Other,Slight Injury,14
Wednesday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,1,1,Backward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Friday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Other,Y,Dry,Daylight,Vehicles,2,1,Turn,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Friday,Young_Adult,Male,Middle,Employee,Expert,Lorry,Valid_Recent_Exp,No defect,Other,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,17
Friday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,No defect,Undivided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,1,Turn,Passenger,3,No_pedestrian,Other,Serious Injury,17
Saturday,Young_Adult,Male,Advanced,Owner,Beginner,Public,Unknown,No defect,Other,No_junction,Dry,Daylight,Animated_Objects,2,1,Turn,Unknown,0,No_pedestrian,Changing_lane,Serious Injury,14
Saturday,Adult,Male,Advanced,Employee,Unknown,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,14
Thursday,Young_Adult,Male,Middle,Employee,Beginner,Public,Moderate_Exp,No defect,One-way,No_junction,Dry,Daylight,Animated_Objects,2,2,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Advanced,Lorry,Advanced_Exp,No defect,Other,No_junction,Dry,Daylight,Animated_Objects,2,2,Stop,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Expert,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Animated_Objects,2,2,Forward,Driver or rider,3,No_pedestrian,No_distance,Serious Injury,17
Monday,Young_Adult,Female,Middle,Employee,Expert,Lorry,Unknown,No defect,One-way,Y,Not dry,Darkness,Animated_Objects,2,3,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,22
Monday,Young_Adult,Male,Middle,Owner,Advanced,Public,Unknown,No defect,Undivided_Two-way,Y,Not dry,Darkness,Animated_Objects,2,3,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,22
Monday,Young_Adult,Male,Elementary,Employee,Intermediate,Public,Unknown,No defect,Other,Y,Not dry,Darkness,Animated_Objects,2,3,Forward,Unknown,0,No_pedestrian,Changing_lane,Serious Injury,22
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Advanced_Exp,No defect,Other,Y,Not dry,Darkness,Animated_Objects,2,3,Backward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,22
Tuesday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Advanced_Exp,No defect,One-way,Y,Dry,Daylight,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Serious Injury,8
Tuesday,Underage,Male,Middle,Employee,Intermediate,Lorry,Unknown,No defect,One-way,Y,Dry,Daylight,Animated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,8
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Advanced_Exp,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Animated_Objects,1,1,Backward,Driver or rider,3,No_pedestrian,Other,Serious Injury,15
Thursday,Young_Adult,Male,Elementary,Employee,Advanced,Lorry,Unknown,No defect,Other,Y,Dry,Daylight,Other,2,1,Stop,Passenger,3,No_pedestrian,Other,Serious Injury,12
Thursday,Adult,Male,Middle,Employee,Expert,Public,Unknown,Unknown,Undivided_Two-way,Y,Dry,Daylight,Other,2,1,Backward,Passenger,3,No_pedestrian,Changing_lane,Serious Injury,12
Wednesday,Young_Adult,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Crossing,Dry,Daylight,Animated_Objects,2,3,Turn,Unknown,0,No_pedestrian,Other,Slight Injury,18
Wednesday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Other,Crossing,Dry,Daylight,Other,2,3,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,18
Friday,Young_Adult,Male,Advanced,Employee,Intermediate,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Animated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,14
Tuesday,Young_Adult,Male,Unknown,Employee,Beginner,Lorry,Unknown,No defect,Other,No_junction,Dry,Daylight,Other,2,1,Forward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,12
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,15
Thursday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,1,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Thursday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Advanced_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Other,2,1,Backward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,15
Saturday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,Other,Dry,Daylight,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,13
Saturday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,Undivided_Two-way,Other,Dry,Daylight,Other,2,1,Forward,Pedestrian,3,Pedestrian,No_distance,Slight Injury,13
Friday,Young_Adult,Male,Advanced,Employee,Beginner,Automobile,Unknown,No defect,One-way,Crossing,Dry,Darkness,Inanimated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,20
Friday,Older_Adult,Male,Middle,Employee,Beginner,Unknown,Moderate_Exp,No defect,Undivided_Two-way,Crossing,Dry,Darkness,Animated_Objects,2,2,Forward,Driver or rider,2,No_pedestrian,Other,Slight Injury,20
Friday,Older_Adult,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Crossing,Dry,Darkness,Animated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,20
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,With defect,Other,No_junction,Dry,Daylight,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,16
