Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Age_Older_Adult,Age_Underage,Age_Unknown,Age_Young_Adult,Sex_Male,Education_Elementary,Education_Middle,Education_Unknown,Driver_type_Owner,Driver_type_Unknown,Exp_Beginner,Exp_Expert,Exp_Intermediate,Exp_Unknown,Vehicle_Lorry,Vehicle_Other,Vehicle_Pick up,Vehicle_Public,Vehicle_Unknown,Service_Moderate_Exp,Service_Unknown,Service_Valid_Recent_Exp,Defect_Unknown,Defect_With defect,Lanes_One-way,Lanes_Undivided_Two-way,Lanes_Unknown,Junction_No_junction,Junction_Other,Junction_Unknown,Junction_Y,Road_cond_Not dry,Light_Daylight,Collision_Inanimated_Objects,Collision_Other,Collision_Vehicles,Movement_Forward,Movement_Other,Movement_Stop,Movement_Turn,Movement_Unknown,Cas_class_Passenger,Cas_class_Pedestrian,Cas_class_Unknown,Pedestrian_movement_Pedestrian,Cause_Driving_carelessly,Cause_No_distance,Cause_Other,Accident_severity
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Slight Injury
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Slight Injury
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Serious Injury
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Slight Injury
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Slight Injury
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Slight Injury
0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Slight Injury
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,Slight Injury
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Slight Injury
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Serious Injury
